inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status,geocode_precision,geocode_query,geocode_display,shift_from_city_km
se-kth-royal-inst-of-technology,csrankings,KTH Royal Inst. of Technology,se,,https://eecs.kth.se/,92,KTH Royal Inst. of Technology,026vcq606,KTH Royal Institute of Technology,Stockholm,59.3498665,18.0706321,1.00,0.90,1,,,,auto,street,"KTH Royal Institute of Technology, Valhallavägen, Stockholm","Kungliga Tekniska högskolan, Valhallavägen, Norra Djurgården, Norra innerstadens stadsdels",2.28
se-uppsala-university,csrankings,Uppsala University,se,,https://www.it.uu.se/,91,Uppsala University,048a87296,Uppsala University,Uppsala,59.8576363,17.6294616,1.00,1.00,0,,,,auto,street,"Uppsala University, Uppsala","Uppsala universitet, Sankt Olofsgatan, Främre Luthagen, Fjärdingen, Uppsala, Uppsala kommu",0.54
fr-ecole-normale-superieure-de-lyon,csrankings,Ecole Normale Superieure de Lyon,fr,,https://informatique.ens-lyon.fr,89,Ecole Normale Superieure de Lyon,04zmssz18,École Normale Supérieure de Lyon,Lyon,45.7332169,4.8332419,1.00,1.00,0,,,,auto,building,"Ecole Normale Superieure de Lyon, Lyon","École Normale Supérieure de Lyon - Site René Descartes, 15, Parvis René Descartes, Le Bon ",2.10
gb-royal-holloway-univ-of-london,csrankings,Royal Holloway Univ. of London,gb,,https://pure.royalholloway.ac.uk,87,"Royal Holloway, University of London",04g2vpn86,Royal Holloway University of London,Egham,51.4244496,-0.5642554,0.97,0.99,0,,,,auto,street,Royal Holloway Univ. of London,"Royal Holloway, Whitehall Lane, Stroude, Runnymede, Surrey, England, TW20 9TP, United King",1.14
gb-university-of-liverpool,csrankings,University of Liverpool,gb,,https://www.liverpool.ac.uk/computer-science/,86,University of Liverpool,04xs57h96,University of Liverpool,Liverpool,53.4072429,-2.9658326,1.00,1.00,0,,,,auto,street,"University of Liverpool, Liverpool","University of Liverpool, Grove Street, Knowledge Quarter, Edge Hill, Liverpool, Liverpool ",0.88
gb-university-of-bristol,csrankings,University of Bristol,gb,,https://www.bristol.ac.uk/engineering/schools/computer-science/,83,University of Bristol,0524sp257,University of Bristol,Bristol,51.4905582,-2.6304825,1.00,1.00,0,,,,auto,district,University of Bristol,"University of Bristol, Barrow Gurney, North Somerset, England, BS9 3RZ, United Kingdom",4.57
gb-university-of-manchester,csrankings,University of Manchester,gb,,https://www.cs.manchester.ac.uk/,83,University of Manchester,027m9bs27,University of Manchester,Manchester,53.4660226,-2.2330858,1.00,1.00,0,,,,auto,street,"University of Manchester, Manchester","University of Manchester, Oxford Road, Brunswick, Chorlton-on-Medlock, Manchester, Greater",1.68
nl-university-of-twente,csrankings,University of Twente,nl,,https://www.utwente.nl/en/eemcs/,81,University of Twente,006hf6230,University of Twente,Enschede,52.2425267,6.8567575,1.00,1.00,1,,,,auto,street,"University of Twente, Enschede","University of Twente, De Zul, Enschede, Overijssel, Nederland, 7522 LV, Nederland",3.78
gb-university-of-essex,csrankings,University of Essex,gb,,https://www.essex.ac.uk,80,University of Essex,02nkf1q06,University of Essex,Colchester,51.8773639,0.9498751,1.00,1.00,1,,,,auto,street,"University of Essex, Colchester","University of Essex, Ballantyne Drive, Hythe, Colchester, Essex, England, CO2 8GL, United ",3.40
gb-cardiff-university,csrankings,Cardiff University,gb,,https://www.cardiff.ac.uk/computer-science,77,Cardiff University,03kk7td41,Cardiff University,Cardiff,51.5067253,-3.1894874,1.00,1.00,0,,,,auto,street,"Cardiff University, Cardiff","Cardiff University, The Philog, Whitchurch, Cardiff, Cymru / Wales, CF14 1RA, United Kingd",3.04
gb-university-of-york,csrankings,University of York,gb,,https://www.york.ac.uk/computer-science/,77,University of York,04m01e293,University of York,York,53.9453912,-1.0314589,1.00,1.00,1,,,,auto,street,"University of York, York","University of York, Mitchel's Lane, Bleak House Farm, Fulford, York, York and North Yorksh",3.62
it-university-of-salerno,csrankings,University of Salerno,it,,https://www.unisa.it,77,University of Salerno,0192m2k53,University of Salerno,Fisciano,40.77175,14.79454,1.00,1.00,1,,,,auto,city_centroid,,,0.00
nl-tu-eindhoven,csrankings,TU Eindhoven,nl,,https://www.win.tue.nl,77,Eindhoven University of Technology,02c2kyt77,Eindhoven University of Technology,Eindhoven,51.4508349,5.4831382,1.00,1.00,1,,,,auto,street,"TU Eindhoven, Eindhoven","TU Eindhoven, John F. Kennedylaan, Woenselse Watermolen, Woensel-Zuid, Eindhoven, Noord-Br",1.17
