inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status
it-gssi,csrankings,GSSI,it,,https://cs.gssi.it,15,Gran Sasso Science Institute,043qcb444,Gran Sasso Science Institute,L’Aquila,42.35055,13.39954,1.00,1.00,1,,,,auto
de-tu-clausthal,csrankings,TU Clausthal,de,,https://www.isse.tu-clausthal.de,14,TU Clausthal,04qb8nc58,Clausthal University of Technology,Clausthal-Zellerfeld,51.80949,10.33821,1.00,1.00,1,,,,auto
de-university-of-kassel,csrankings,University of Kassel,de,,https://www.uni-kassel.de/eecs/en,14,University of Kassel,04zc7p361,University of Kassel,Kassel,51.31667,9.5,1.00,1.00,1,,,,auto
de-university-of-potsdam,csrankings,University of Potsdam,de,,https://www.uni-potsdam.de/en/cs,14,University of Potsdam,03bnmw459,University of Potsdam,Potsdam,52.39886,13.06566,1.00,1.00,0,,,,auto
ie-maynooth-university,csrankings,Maynooth University,ie,,https://www.maynoothuniversity.ie/computer-science,14,Maynooth University,048nfjm95,"National University of Ireland, Maynooth",Maynooth,53.385,-6.59361,1.00,1.00,0,,,,auto
se-lund-university,csrankings,Lund University,se,,https://cs.lth.se,14,Lund University,012a77v79,Lund University,Lund,55.70584,13.19321,1.00,1.00,0,,,,auto
se-malm-university,csrankings,Malmö University,se,,https://mau.se,14,Malmö University,05wp7an13,Malmö University,Malmo,55.60587,13.00073,1.00,1.00,1,,,,auto
de-thws,csrankings,THWS,de,,https://fiw.thws.de,13,Technische Hochschule Würzburg-Schweinfurt,01k5h5v15,Technical University of Applied Sciences Würzburg-Schweinfurt,Würzburg,49.79391,9.95121,1.00,1.00,0,,,,auto
de-university-of-d-sseldorf,csrankings,University of Düsseldorf,de,,https://www.cs.hhu.de,13,Heinrich Heine University Düsseldorf,024z2rq82,Heinrich Heine University Düsseldorf,Düsseldorf,51.22172,6.77616,1.00,1.00,0,,,,auto
de-brandenburg-univ-of-technology,csrankings,Brandenburg Univ. of Technology,de,,https://www.b-tu.de/en/institut-fuer-informatik,12,Brandenburg University of Technology Cottbus-Senftenberg,02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,Senftenberg,51.52517,14.00164,1.00,1.00,1,,,,auto
mt-university-of-malta,csrankings,University of Malta,mt,,https://www.um.edu.mt/ict/cs/,12,University of Malta,03a62bv60,University of Malta,Msida,35.8925,14.48278,1.00,1.00,1,,,,auto
de-bauhaus-university-weimar,csrankings,Bauhaus University Weimar,de,,https://www.uni-weimar.de/en/media/structure/computer-science-department,11,Bauhaus University Weimar,033bb5z47,Bauhaus-Universität Weimar,Weimar,50.9803,11.32903,1.00,1.00,0,,,,auto
